Length error: 0.001499936, Total energy: -1002.37445
Length error: 0.010821447, Total energy: -1004.80414
Length error: 0.030280367, Total energy: -1007.5063
Length error: 0.059324473, Total energy: -1010.66504
Length error: 0.09750612, Total energy: -1014.5663
Length error: 0.14309572, Total energy: -1019.50226
Length error: 0.19383311, Total energy: -1025.6993
Length error: 0.24758936, Total energy: -1033.2904
Length error: 0.30281675, Total energy: -1042.3219
Length error: 0.3588001, Total energy: -1052.7968
Length error: 0.41564828, Total energy: -1064.7299
Length error: 0.47406685, Total energy: -1078.193
Length error: 0.5350325, Total energy: -1093.3381
Length error: 0.59952945, Total energy: -1110.4047
Length error: 0.66846716, Total energy: -1129.7156
Length error: 0.742766, Total energy: -1151.6798
Length error: 0.823448, Total energy: -1176.8126
Length error: 0.9112189, Total energy: -1205.7302
Length error: 1.0038903, Total energy: -1238.7548
Length error: 1.0915635, Total energy: -1274.046
Length error: 1.1600549, Total energy: -1306.792
Length error: 1.2006903, Total energy: -1332.7384
Length error: 1.2117639, Total energy: -1349.7089
Length error: 1.1952388, Total energy: -1356.7297
Length error: 1.1542888, Total energy: -1353.8029
Length error: 1.0924793, Total energy: -1342.341
Length error: 1.0138513, Total energy: -1325.0898
Length error: 0.9230919, Total energy: -1305.2577
Length error: 0.8253856, Total energy: -1285.5789
Length error: 0.7259664, Total energy: -1267.8689
Length error: 0.62956977, Total energy: -1253.0409
Length error: 0.54000705, Total energy: -1241.333
Length error: 0.4599437, Total energy: -1232.5642
Length error: 0.39089927, Total energy: -1226.3494
Length error: 0.3334373, Total energy: -1222.2393
Length error: 0.28744364, Total energy: -1219.7991
Length error: 0.25242054, Total energy: -1218.6458
Length error: 0.22770533, Total energy: -1218.4647
Length error: 0.2125579, Total energy: -1219.0198
Length error: 0.20613855, Total energy: -1220.1495
Length error: 0.20744023, Total energy: -1221.753
Length error: 0.21524891, Total energy: -1223.7723
Length error: 0.22817233, Total energy: -1226.1682
Length error: 0.24472737, Total energy: -1228.904
Length error: 0.2634557, Total energy: -1231.9347
Length error: 0.28303355, Total energy: -1235.2014
Length error: 0.3023641, Total energy: -1238.6377
Length error: 0.3206691, Total energy: -1242.1755
Length error: 0.33758873, Total energy: -1245.7609
Length error: 0.35327348, Total energy: -1249.3698
Length error: 0.3684229, Total energy: -1253.0233
Length error: 0.38421136, Total energy: -1256.8021
Length error: 0.4021088, Total energy: -1260.8546
Length error: 0.42369658, Total energy: -1265.4009
Length error: 0.4505823, Total energy: -1270.7385
Length error: 0.48445642, Total energy: -1277.2585
Length error: 0.52721417, Total energy: -1285.4885
Length error: 0.5809152, Total energy: -1296.1738
Length error: 0.6464919, Total energy: -1310.2297
Length error: 0.71988827, Total energy: -1327.8453
Length error: 0.79176044, Total energy: -1347.4481
Length error: 0.85361695, Total energy: -1366.8363
Length error: 0.9005487, Total energy: -1384.2024
Length error: 0.9301444, Total energy: -1397.981
Length error: 0.9411388, Total energy: -1406.7358
Length error: 0.93288, Total energy: -1409.5068
