Length error: 8.6046755E-4, Total energy: -1002.372
Length error: 0.0038900971, Total energy: -1004.81335
Length error: 0.007121116, Total energy: -1007.4193
Length error: 0.009956732, Total energy: -1010.20013
Length error: 0.0124788135, Total energy: -1013.17896
Length error: 0.014939308, Total energy: -1016.3998
Length error: 0.017575204, Total energy: -1019.93475
Length error: 0.020546332, Total energy: -1023.8751
Length error: 0.023971707, Total energy: -1028.329
Length error: 0.027966559, Total energy: -1033.4274
Length error: 0.032664, Total energy: -1039.3368
Length error: 0.03821732, Total energy: -1046.2712
Length error: 0.04480496, Total energy: -1054.516
Length error: 0.05263169, Total energy: -1064.4594
Length error: 0.061919436, Total energy: -1076.6476
Length error: 0.07280925, Total energy: -1091.8445
Length error: 0.08460201, Total energy: -1110.7113
Length error: 0.09374054, Total energy: -1131.4316
Length error: 0.095238045, Total energy: -1148.5448
Length error: 0.08840211, Total energy: -1159.2859
Length error: 0.07733601, Total energy: -1165.3027
Length error: 0.06708464, Total energy: -1169.2794
Length error: 0.06044273, Total energy: -1172.8822
Length error: 0.05729921, Total energy: -1176.6533
Length error: 0.0558718, Total energy: -1180.4631
Length error: 0.054284424, Total energy: -1183.9307
Length error: 0.051480606, Total energy: -1186.7609
Length error: 0.04732777, Total energy: -1188.904
Length error: 0.042291075, Total energy: -1190.5112
Length error: 0.037023142, Total energy: -1191.8022
Length error: 0.032087818, Total energy: -1192.9634
Length error: 0.027840286, Total energy: -1194.1118
Length error: 0.02443032, Total energy: -1195.3019
Length error: 0.021857724, Total energy: -1196.5482
Length error: 0.020040274, Total energy: -1197.8457
Length error: 0.018867895, Total energy: -1199.1842
Length error: 0.018235624, Total energy: -1200.5533
Length error: 0.01805821, Total energy: -1201.9479
Length error: 0.01827547, Total energy: -1203.3683
Length error: 0.018847913, Total energy: -1204.8208
Length error: 0.01975055, Total energy: -1206.318
Length error: 0.02097112, Total energy: -1207.8779
Length error: 0.022509024, Total energy: -1209.5259
Length error: 0.024380952, Total energy: -1211.294
Length error: 0.026623964, Total energy: -1213.2239
Length error: 0.029301614, Total energy: -1215.3727
Length error: 0.032509625, Total energy: -1217.817
Length error: 0.036378175, Total energy: -1220.6699
Length error: 0.04107298, Total energy: -1224.0977
Length error: 0.04676597, Total energy: -1228.352
Length error: 0.05349414, Total energy: -1233.7673
Length error: 0.06068091, Total energy: -1240.5372
Length error: 0.06652334, Total energy: -1248.0425
Length error: 0.06873205, Total energy: -1254.7332
Length error: 0.06648502, Total energy: -1259.473
Length error: 0.061115995, Total energy: -1262.3535
Length error: 0.05499737, Total energy: -1264.1573
Length error: 0.050027147, Total energy: -1265.596
Length error: 0.04686494, Total energy: -1267.0233
